INVOICE_ID,INVOICE_DATE,CLIENT_ID,CLIENT_TYPE,TOTAL_HT,MONTANT_TVA,AMOUNT_TTC,RAS_5P,RAS_TVA,AMOUNT_TO_PAY,PU,QUANTITY,ELECTRONIC_DATE,PHYSICAL_DATE,EXPECTED_PAYMENT_DATE,LABEL,PO,INVOICE_YEAR,STATUS,PAYMENT_DATE,INVOICE_NUMBER
4892,2024-09-11,100,PRIVE,6344.9,1268.98,7613.88,0.0,0.0,7613.88,634.49,10,2024-09-11,2024-09-16,2024-11-24,Maintenance SaaS,PO-46472-xl,2024,PAID,2024-11-20,FAC-2024-18065
4893,2025-06-08,47,PRIVE,3474.32,694.86,4169.18,0.0,0.0,4169.18,868.58,4,2025-06-09,,2025-08-09,Hébergement cloud,PO-65013-Uq,2025,PAID,2025-08-18,FAC-2025-98552
4894,2024-04-07,21,PUBLIC,5736.72,1147.34,6884.06,286.84,860.51,5736.71,717.09,8,2024-04-07,2024-04-09,2024-06-01,Maintenance SaaS,PO-16469-nB,2024,PAID,2024-05-31,FAC-2024-03411
4896,2023-11-13,25,PUBLIC,5008.64,1001.73,6010.37,250.43,751.3,5008.64,715.52,7,2023-11-13,2023-11-18,2023-12-27,Licence logicielle,PO-97164-oP,2023,PAID,2023-12-18,FAC-2023-24265
4898,2023-09-09,50,PRIVE,9717.6,1943.52,11661.12,0.0,0.0,11661.12,809.8,12,2023-09-11,2023-09-14,2023-11-18,Développement logiciel,PO-01786-oz,2023,PAID,2023-11-08,FAC-2023-72874
4900,2024-08-26,86,PRIVE,13481.82,2696.36,16178.18,0.0,0.0,16178.18,1497.98,9,2024-08-26,2024-08-28,2024-11-06,Maintenance SaaS,PO-79349-Tf,2024,PAID,2024-11-15,FAC-2024-95535
4901,2024-07-25,46,PUBLIC,133.09,26.62,159.71,6.65,19.96,133.1,133.09,1,2024-07-27,2024-07-26,2024-10-10,Formation technique,PO-47863-DF,2024,PAID,2024-10-09,FAC-2024-67763
4902,2023-09-10,39,PUBLIC,10384.4,2076.88,12461.28,519.22,1557.66,10384.4,1298.05,8,2023-09-11,2023-09-12,2023-11-15,Consulting IT,PO-16578-oa,2023,PAID,2023-11-27,FAC-2023-86107
4903,2025-05-16,52,PUBLIC,1133.58,226.72,1360.3,56.68,170.04,1133.58,377.86,3,2025-05-18,,2025-08-01,Maintenance SaaS,PO-69152-jG,2025,PAID,2025-07-18,FAC-2025-15544
4908,2025-05-25,68,PUBLIC,1723.55,344.71,2068.26,86.18,258.53,1723.55,344.71,5,2025-05-27,2025-05-30,2025-08-20,Formation technique,PO-83849-oI,2025,PAID,2025-09-04,FAC-2025-32847
4911,2025-01-01,99,PUBLIC,9650.46,1930.09,11580.55,482.52,1447.57,9650.46,1608.41,6,2025-01-03,,2025-04-01,Formation technique,PO-07273-sN,2025,PAID,2025-04-10,FAC-2025-17382
4913,2023-09-15,92,PUBLIC,34167.06,6833.41,41000.47,1708.35,5125.06,34167.06,1898.17,18,2023-09-16,2023-09-19,2023-10-19,Développement logiciel,PO-00419-Ft,2023,PAID,2023-10-15,FAC-2023-78567
4915,2024-03-04,39,PUBLIC,5242.2,1048.44,6290.64,262.11,786.33,5242.2,262.11,20,2024-03-06,,2024-04-22,Formation technique,PO-03165-WF,2024,PAID,2024-04-21,FAC-2024-49958
4916,2024-08-03,47,PRIVE,470.82,94.16,564.98,0.0,0.0,564.98,67.26,7,2024-08-04,2024-08-04,2024-09-11,Hébergement cloud,PO-34002-wl,2024,PAID,2024-09-16,FAC-2024-85913
4918,2023-11-19,73,PRIVE,349.08,69.82,418.9,0.0,0.0,418.9,58.18,6,2023-11-20,2023-11-24,2024-01-22,Licence logicielle,PO-32311-NL,2023,PAID,2024-01-25,FAC-2023-70077
4922,2024-04-22,28,PRIVE,8163.55,1632.71,9796.26,0.0,0.0,9796.26,1632.71,5,2024-04-22,2024-04-27,2024-06-14,Formation technique,PO-59255-sz,2024,PAID,2024-06-18,FAC-2024-19421
4923,2025-03-01,58,PRIVE,7888.3,1577.66,9465.96,0.0,0.0,9465.96,563.45,14,2025-03-03,2025-03-06,2025-04-25,Maintenance SaaS,PO-98028-RL,2025,PAID,2025-04-13,FAC-2025-53075
4926,2024-08-24,25,PUBLIC,19954.3,3990.86,23945.16,997.72,2993.14,19954.3,1995.43,10,2024-08-25,2024-08-29,2024-10-04,Licence logicielle,PO-98786-gh,2024,PAID,2024-10-19,FAC-2024-40317
4930,2024-04-03,13,PUBLIC,21193.92,4238.78,25432.7,1059.7,3179.09,21193.91,1926.72,11,2024-04-05,,2024-05-19,Développement logiciel,PO-04612-MT,2024,PAID,2024-05-27,FAC-2024-03699
4931,2025-06-16,52,PUBLIC,2213.12,442.62,2655.74,110.66,331.97,2213.11,316.16,7,2025-06-17,2025-06-18,2025-08-20,Développement logiciel,PO-96623-Nj,2025,PAID,2025-08-22,FAC-2025-04325
4932,2024-01-04,22,PUBLIC,2951.2,590.24,3541.44,147.56,442.68,2951.2,421.6,7,2024-01-04,,2024-02-16,Consulting IT,PO-79431-xi,2024,PAID,2024-02-03,FAC-2024-26103
4934,2023-12-16,50,PRIVE,11788.8,2357.76,14146.56,0.0,0.0,14146.56,1178.88,10,2023-12-18,2023-12-18,2024-02-19,Hébergement cloud,PO-34309-ce,2023,PAID,2024-03-02,FAC-2023-59923
4937,2024-02-18,16,PRIVE,1129.44,225.89,1355.33,0.0,0.0,1355.33,376.48,3,2024-02-20,2024-02-20,2024-05-02,Développement logiciel,PO-27028-dx,2024,PAID,2024-04-19,FAC-2024-46396
4939,2024-01-03,12,PRIVE,17900.83,3580.17,21481.0,0.0,0.0,21481.0,1052.99,17,2024-01-05,,2024-02-29,Consulting IT,PO-88062-Nl,2024,PAID,2024-03-02,FAC-2024-73095
4940,2023-10-28,18,PUBLIC,4952.1,990.42,5942.52,247.61,742.82,4952.09,1650.7,3,2023-10-30,,2024-01-02,Formation technique,PO-39878-Ue,2023,PAID,2024-01-07,FAC-2023-57869
4941,2023-12-10,46,PUBLIC,348.66,69.73,418.39,17.43,52.3,348.66,58.11,6,2023-12-12,,2024-02-25,Licence logicielle,PO-01841-fu,2023,PAID,2024-02-23,FAC-2023-23069
4943,2023-12-04,29,PUBLIC,13183.0,2636.6,15819.6,659.15,1977.45,13183.0,659.15,20,2023-12-06,2023-12-06,2024-02-04,Hébergement cloud,PO-24255-qz,2023,PAID,2024-02-18,FAC-2023-84431
4944,2024-12-04,18,PUBLIC,1441.4,288.28,1729.68,72.07,216.21,1441.4,288.28,5,2024-12-05,2024-12-07,2025-02-23,Développement logiciel,PO-48743-Mm,2024,PAID,2025-02-22,FAC-2024-40379
4945,2025-05-31,39,PUBLIC,2046.58,409.32,2455.9,102.33,306.99,2046.58,1023.29,2,2025-06-01,,2025-08-16,Formation technique,PO-64874-yL,2025,PAID,2025-08-31,FAC-2025-49018
4946,2024-06-29,25,PUBLIC,12316.48,2463.3,14779.78,615.82,1847.47,12316.49,1539.56,8,2024-07-01,2024-07-03,2024-09-24,Développement logiciel,PO-21964-ww,2024,PAID,2024-10-06,FAC-2024-93599
4949,2024-06-12,52,PUBLIC,268.6,53.72,322.32,13.43,40.29,268.6,134.3,2,2024-06-12,2024-06-13,2024-09-08,Licence logicielle,PO-63299-hR,2024,PAID,2024-08-29,FAC-2024-88081
4961,2024-06-11,70,PUBLIC,21193.62,4238.72,25432.34,1059.68,3179.04,21193.62,1513.83,14,2024-06-12,2024-06-16,2024-08-01,Développement logiciel,PO-86823-ZB,2024,PAID,2024-08-13,FAC-2024-34343
4963,2023-11-16,37,PRIVE,12966.45,2593.29,15559.74,0.0,0.0,15559.74,864.43,15,2023-11-18,2023-11-17,2024-01-30,Formation technique,PO-69493-xR,2023,PAID,2024-01-21,FAC-2023-68819
4967,2025-07-21,67,PRIVE,3418.64,683.73,4102.37,0.0,0.0,4102.37,427.33,8,2025-07-21,2025-07-26,2025-09-15,Formation technique,PO-86895-uB,2025,PAID,2025-09-27,FAC-2025-88170
4972,2023-11-19,86,PRIVE,5120.1,1024.02,6144.12,0.0,0.0,6144.12,568.9,9,2023-11-19,,2024-01-21,Développement logiciel,PO-21349-KX,2023,PAID,2024-01-24,FAC-2023-28694
4973,2023-11-29,7,PUBLIC,11502.61,2300.52,13803.13,575.13,1725.39,11502.61,1643.23,7,2023-11-30,2023-12-02,2023-12-31,Licence logicielle,PO-25575-mZ,2023,PAID,2023-12-25,FAC-2023-88048
4976,2024-05-04,37,PRIVE,12165.51,2433.1,14598.61,0.0,0.0,14598.61,1737.93,7,2024-05-05,,2024-07-21,Hébergement cloud,PO-96849-aU,2024,PAID,2024-07-12,FAC-2024-98645
4982,2024-04-18,41,PRIVE,1820.63,364.13,2184.76,0.0,0.0,2184.76,1820.63,1,2024-04-20,2024-04-20,2024-05-29,Développement logiciel,PO-20664-cV,2024,PAID,2024-05-31,FAC-2024-66673
4985,2024-04-05,57,PUBLIC,4236.23,847.25,5083.48,211.81,635.43,4236.24,249.19,17,2024-04-06,2024-04-06,2024-06-18,Développement logiciel,PO-30490-yr,2024,PAID,2024-07-02,FAC-2024-72733
4988,2024-09-24,6,PUBLIC,18717.0,3743.4,22460.4,935.85,2807.55,18717.0,1871.7,10,2024-09-26,,2024-11-23,Formation technique,PO-19780-wY,2024,PAID,2024-11-17,FAC-2024-19982
4993,2023-08-08,30,PRIVE,15458.4,3091.68,18550.08,0.0,0.0,18550.08,1030.56,15,2023-08-10,,2023-10-08,Formation technique,PO-05399-fM,2023,PAID,2023-09-24,FAC-2023-67181
4998,2025-05-29,1,PRIVE,768.02,153.6,921.62,0.0,0.0,921.62,384.01,2,2025-05-31,2025-06-01,2025-08-18,Consulting IT,PO-92716-sf,2025,PAID,2025-08-24,FAC-2025-96923
4999,2025-04-29,61,PRIVE,9390.78,1878.16,11268.94,0.0,0.0,11268.94,670.77,14,2025-05-01,2025-05-01,2025-06-01,Consulting IT,PO-72777-Ar,2025,PAID,2025-05-18,FAC-2025-46492
5004,2023-09-15,74,PUBLIC,21083.68,4216.74,25300.42,1054.18,3162.55,21083.69,1317.73,16,2023-09-16,2023-09-16,2023-12-09,Maintenance SaaS,PO-43446-pv,2023,PAID,2023-12-15,FAC-2023-16760
5005,2025-07-18,28,PRIVE,3810.88,762.18,4573.06,0.0,0.0,4573.06,238.18,16,2025-07-19,2025-07-21,2025-08-28,Hébergement cloud,PO-63239-pq,2025,PAID,2025-08-26,FAC-2025-14685
5008,2024-10-19,77,PUBLIC,33711.2,6742.24,40453.44,1685.56,5056.68,33711.2,1685.56,20,2024-10-19,2024-10-20,2024-12-13,Formation technique,PO-52722-uF,2024,PAID,2024-11-28,FAC-2024-26902
5009,2025-01-20,23,PRIVE,10417.8,2083.56,12501.36,0.0,0.0,12501.36,1041.78,10,2025-01-21,2025-01-21,2025-03-08,Développement logiciel,PO-31209-ql,2025,PAID,2025-03-06,FAC-2025-87562
5010,2023-12-28,2,PRIVE,2100.08,420.02,2520.1,0.0,0.0,2520.1,525.02,4,2023-12-28,2023-12-31,2024-02-18,Hébergement cloud,PO-31540-zj,2023,PAID,2024-02-19,FAC-2023-50071
5014,2023-08-16,64,PUBLIC,3020.25,604.05,3624.3,151.01,453.04,3020.25,201.35,15,2023-08-17,2023-08-21,2023-10-12,Hébergement cloud,PO-26327-mA,2023,PAID,2023-10-06,FAC-2023-83448
5015,2024-06-07,46,PUBLIC,317.12,63.42,380.54,15.86,47.57,317.11,158.56,2,2024-06-07,2024-06-09,2024-08-28,Maintenance SaaS,PO-40151-XO,2024,PAID,2024-08-25,FAC-2024-71999
5018,2023-10-29,37,PRIVE,25022.0,5004.4,30026.4,0.0,0.0,30026.4,1251.1,20,2023-10-29,2023-11-01,2024-01-04,Consulting IT,PO-80853-Fl,2023,PAID,2024-01-15,FAC-2023-35743
5019,2023-10-24,31,PUBLIC,7320.3,1464.06,8784.36,366.02,1098.05,7320.29,488.02,15,2023-10-26,,2023-12-06,Consulting IT,PO-79770-cM,2023,PAID,2023-11-25,FAC-2023-56269
5021,2025-02-12,48,PRIVE,8981.7,1796.34,10778.04,0.0,0.0,10778.04,690.9,13,2025-02-14,2025-02-13,2025-04-17,Développement logiciel,PO-95914-ZN,2025,PAID,2025-04-18,FAC-2025-67873
5022,2023-09-17,75,PRIVE,1465.5,293.1,1758.6,0.0,0.0,1758.6,488.5,3,2023-09-18,2023-09-19,2023-11-21,Formation technique,PO-56875-qj,2023,PAID,2023-12-01,FAC-2023-76724
5023,2023-09-13,3,PRIVE,3074.9,614.98,3689.88,0.0,0.0,3689.88,1537.45,2,2023-09-15,2023-09-17,2023-10-19,Consulting IT,PO-20020-Ow,2023,PAID,2023-10-14,FAC-2023-98461
5025,2025-01-31,98,PUBLIC,13207.18,2641.44,15848.62,660.36,1981.08,13207.18,1886.74,7,2025-02-02,,2025-03-17,Hébergement cloud,PO-55608-Wt,2025,PAID,2025-03-24,FAC-2025-03133
5026,2024-04-28,97,PRIVE,35695.11,7139.02,42834.13,0.0,0.0,42834.13,1878.69,19,2024-04-28,,2024-06-26,Maintenance SaaS,PO-94484-MV,2024,PAID,2024-06-16,FAC-2024-52650
5027,2025-03-01,55,PUBLIC,20388.28,4077.66,24465.94,1019.41,3058.24,20388.29,1853.48,11,2025-03-01,,2025-04-23,Consulting IT,PO-82696-wp,2025,PAID,2025-04-24,FAC-2025-85664
5030,2023-10-09,93,PRIVE,7076.55,1415.31,8491.86,0.0,0.0,8491.86,372.45,19,2023-10-10,2023-10-13,2024-01-02,Licence logicielle,PO-28655-OP,2023,PAID,2024-01-07,FAC-2023-98821
5031,2023-12-23,55,PUBLIC,12139.65,2427.93,14567.58,606.98,1820.95,12139.65,1348.85,9,2023-12-24,,2024-03-12,Consulting IT,PO-68131-Lv,2023,PAID,2024-03-21,FAC-2023-16141
5036,2023-09-04,26,PUBLIC,7961.64,1592.33,9553.97,398.08,1194.25,7961.64,663.47,12,2023-09-06,2023-09-05,2023-11-19,Licence logicielle,PO-43944-Ap,2023,PAID,2023-11-08,FAC-2023-13010
5038,2025-05-13,40,PRIVE,2744.32,548.86,3293.18,0.0,0.0,3293.18,1372.16,2,2025-05-14,,2025-08-01,Consulting IT,PO-43006-Jq,2025,PAID,2025-07-21,FAC-2025-38405
5040,2024-12-29,72,PUBLIC,7221.48,1444.3,8665.78,361.07,1083.22,7221.49,1805.37,4,2024-12-31,2024-12-31,2025-03-26,Hébergement cloud,PO-11544-YK,2024,PAID,2025-03-24,FAC-2024-85639
5041,2024-05-17,4,PRIVE,4122.1,824.42,4946.52,0.0,0.0,4946.52,824.42,5,2024-05-18,,2024-08-02,Hébergement cloud,PO-35327-NI,2024,PAID,2024-08-07,FAC-2024-23221
5042,2023-11-24,59,PUBLIC,2690.16,538.03,3228.19,134.51,403.52,2690.16,1345.08,2,2023-11-24,2023-11-25,2024-02-02,Maintenance SaaS,PO-91897-ek,2023,PAID,2024-02-12,FAC-2023-80286
5044,2024-07-28,61,PRIVE,30481.51,6096.3,36577.81,0.0,0.0,36577.81,1604.29,19,2024-07-30,2024-07-29,2024-09-04,Licence logicielle,PO-73015-DJ,2024,PAID,2024-09-03,FAC-2024-33751
5045,2025-01-01,62,PRIVE,11723.92,2344.78,14068.7,0.0,0.0,14068.7,901.84,13,2025-01-02,2025-01-03,2025-03-17,Développement logiciel,PO-91588-pR,2025,PAID,2025-03-21,FAC-2025-93988
5047,2024-01-02,95,PUBLIC,18558.87,3711.77,22270.64,927.94,2783.83,18558.87,1687.17,11,2024-01-04,2024-01-06,2024-03-29,Consulting IT,PO-44555-rx,2024,PAID,2024-04-05,FAC-2024-89091
5049,2024-02-20,25,PUBLIC,1441.96,288.39,1730.35,72.1,216.29,1441.96,110.92,13,2024-02-21,2024-02-22,2024-05-09,Formation technique,PO-87271-qU,2024,PAID,2024-05-04,FAC-2024-58233
5052,2023-09-26,7,PUBLIC,2860.8,572.16,3432.96,143.04,429.12,2860.8,178.8,16,2023-09-27,2023-09-28,2023-12-04,Consulting IT,PO-15473-PO,2023,PAID,2023-12-11,FAC-2023-23348
5057,2024-09-12,20,PRIVE,6284.4,1256.88,7541.28,0.0,0.0,7541.28,314.22,20,2024-09-14,,2024-10-27,Développement logiciel,PO-80209-bK,2024,PAID,2024-11-04,FAC-2024-73714
5060,2023-09-21,99,PUBLIC,3299.9,659.98,3959.88,165.0,494.99,3299.89,659.98,5,2023-09-23,2023-09-26,2023-10-28,Maintenance SaaS,PO-24237-sc,2023,PAID,2023-11-02,FAC-2023-01740
5063,2025-04-01,55,PUBLIC,16003.8,3200.76,19204.56,800.19,2400.57,16003.8,800.19,20,2025-04-03,2025-04-05,2025-06-25,Maintenance SaaS,PO-12618-GL,2025,PAID,2025-06-29,FAC-2025-30617
5064,2024-08-25,2,PRIVE,3585.72,717.14,4302.86,0.0,0.0,4302.86,896.43,4,2024-08-26,,2024-10-20,Hébergement cloud,PO-06969-ci,2024,PAID,2024-10-15,FAC-2024-34178
5065,2024-04-13,71,PRIVE,871.16,174.23,1045.39,0.0,0.0,1045.39,871.16,1,2024-04-13,,2024-06-07,Licence logicielle,PO-26855-wa,2024,PAID,2024-06-20,FAC-2024-95001
5066,2025-03-03,12,PRIVE,16251.84,3250.37,19502.21,0.0,0.0,19502.21,1354.32,12,2025-03-03,2025-03-05,2025-04-14,Licence logicielle,PO-75768-ix,2025,PAID,2025-04-01,FAC-2025-87584
5068,2024-11-30,60,PUBLIC,2768.52,553.7,3322.22,138.43,415.28,2768.51,692.13,4,2024-12-01,2024-12-05,2024-12-30,Licence logicielle,PO-94457-kF,2024,PAID,2025-01-02,FAC-2024-83652
5071,2024-11-04,37,PRIVE,8767.66,1753.53,10521.19,0.0,0.0,10521.19,797.06,11,2024-11-05,2024-11-05,2024-12-19,Maintenance SaaS,PO-08960-pt,2024,PAID,2024-12-20,FAC-2024-16219
5073,2024-03-20,13,PUBLIC,4184.4,836.88,5021.28,209.22,627.66,4184.4,1394.8,3,2024-03-22,2024-03-22,2024-06-09,Développement logiciel,PO-86677-jU,2024,PAID,2024-06-09,FAC-2024-16700
5074,2024-07-18,12,PRIVE,1465.61,293.12,1758.73,0.0,0.0,1758.73,1465.61,1,2024-07-20,2024-07-23,2024-08-20,Licence logicielle,PO-27964-xf,2024,PAID,2024-08-10,FAC-2024-68519
5075,2024-08-11,88,PRIVE,3215.76,643.15,3858.91,0.0,0.0,3858.91,401.97,8,2024-08-12,,2024-11-09,Maintenance SaaS,PO-98909-MF,2024,PAID,2024-11-11,FAC-2024-20929
5077,2024-03-17,33,PRIVE,3270.64,654.13,3924.77,0.0,0.0,3924.77,817.66,4,2024-03-18,,2024-06-12,Maintenance SaaS,PO-76878-vf,2024,PAID,2024-06-24,FAC-2024-78124
5080,2024-11-21,88,PRIVE,13390.32,2678.06,16068.38,0.0,0.0,16068.38,1115.86,12,2024-11-22,2024-11-24,2025-02-03,Licence logicielle,PO-74850-sN,2024,PAID,2025-02-14,FAC-2024-26218
5081,2024-09-02,22,PUBLIC,22879.44,4575.89,27455.33,1143.97,3431.92,22879.44,1271.08,18,2024-09-03,,2024-10-24,Licence logicielle,PO-02834-ea,2024,PAID,2024-10-17,FAC-2024-00104
5082,2025-03-16,19,PRIVE,5611.87,1122.37,6734.24,0.0,0.0,6734.24,330.11,17,2025-03-16,,2025-05-23,Licence logicielle,PO-31323-xy,2025,PAID,2025-05-21,FAC-2025-53263
5091,2024-10-31,75,PRIVE,4762.96,952.59,5715.55,0.0,0.0,5715.55,1190.74,4,2024-11-01,2024-11-01,2024-12-20,Développement logiciel,PO-12453-dm,2024,PAID,2024-12-10,FAC-2024-77388
5092,2023-07-29,88,PRIVE,5840.5,1168.1,7008.6,0.0,0.0,7008.6,584.05,10,2023-07-31,2023-07-31,2023-10-03,Consulting IT,PO-32927-mU,2023,PAID,2023-10-09,FAC-2023-95472
5093,2025-05-26,80,PUBLIC,3165.74,633.15,3798.89,158.29,474.86,3165.74,1582.87,2,2025-05-27,2025-05-30,2025-08-12,Développement logiciel,PO-93538-vK,2025,PAID,2025-08-21,FAC-2025-58393
5094,2025-03-20,6,PUBLIC,947.94,189.59,1137.53,47.4,142.19,947.94,315.98,3,2025-03-21,2025-03-25,2025-04-24,Formation technique,PO-67160-FC,2025,PAID,2025-04-13,FAC-2025-82589
5097,2024-05-11,53,PUBLIC,9844.3,1968.86,11813.16,492.21,1476.64,9844.31,1968.86,5,2024-05-13,,2024-06-21,Formation technique,PO-90522-qj,2024,PAID,2024-06-20,FAC-2024-12804
5098,2023-09-30,8,PUBLIC,684.39,136.88,821.27,34.22,102.66,684.39,684.39,1,2023-09-30,2023-10-02,2023-12-19,Licence logicielle,PO-17181-pC,2023,PAID,2023-12-15,FAC-2023-20768
5099,2025-02-15,52,PUBLIC,21307.5,4261.5,25569.0,1065.38,3196.12,21307.5,1420.5,15,2025-02-15,,2025-05-10,Consulting IT,PO-18095-Ae,2025,PAID,2025-05-15,FAC-2025-75520
5104,2025-02-17,6,PUBLIC,13540.95,2708.19,16249.14,677.05,2031.14,13540.95,1504.55,9,2025-02-19,2025-02-20,2025-04-06,Consulting IT,PO-32152-UA,2025,PAID,2025-04-12,FAC-2025-41579
5107,2025-02-19,18,PUBLIC,1920.56,384.11,2304.67,96.03,288.08,1920.56,480.14,4,2025-02-21,,2025-05-01,Maintenance SaaS,PO-92055-DT,2025,PAID,2025-05-03,FAC-2025-52872
5109,2025-06-19,75,PRIVE,615.45,123.09,738.54,0.0,0.0,738.54,615.45,1,2025-06-21,,2025-09-13,Consulting IT,PO-78659-da,2025,PAID,2025-09-21,FAC-2025-89908
5110,2024-04-07,19,PRIVE,16844.04,3368.81,20212.85,0.0,0.0,20212.85,1871.56,9,2024-04-08,,2024-06-11,Formation technique,PO-66671-Qq,2024,PAID,2024-06-12,FAC-2024-34879
5113,2023-10-25,4,PRIVE,4267.78,853.56,5121.34,0.0,0.0,5121.34,387.98,11,2023-10-27,2023-10-30,2023-12-19,Formation technique,PO-95073-cK,2023,PAID,2023-12-20,FAC-2023-36974
5114,2025-03-09,59,PUBLIC,7947.8,1589.56,9537.36,397.39,1192.17,7947.8,567.7,14,2025-03-11,,2025-05-27,Hébergement cloud,PO-72477-aD,2025,PAID,2025-05-31,FAC-2025-68349
5115,2025-06-18,65,PUBLIC,11975.1,2395.02,14370.12,598.75,1796.26,11975.11,798.34,15,2025-06-18,2025-06-20,2025-07-27,Hébergement cloud,PO-41905-RA,2025,PAID,2025-07-13,FAC-2025-11173
5116,2023-08-20,20,PRIVE,1020.3,204.06,1224.36,0.0,0.0,1224.36,340.1,3,2023-08-21,2023-08-25,2023-10-25,Consulting IT,PO-79926-dz,2023,PAID,2023-10-21,FAC-2023-72344
5117,2023-08-21,50,PRIVE,2916.8,583.36,3500.16,0.0,0.0,3500.16,182.3,16,2023-08-22,2023-08-23,2023-11-06,Licence logicielle,PO-98203-Fm,2023,PAID,2023-11-01,FAC-2023-22697
5120,2024-06-02,84,PRIVE,3219.32,643.86,3863.18,0.0,0.0,3863.18,247.64,13,2024-06-02,,2024-08-09,Maintenance SaaS,PO-11154-dP,2024,PAID,2024-08-17,FAC-2024-21449
5122,2025-02-16,78,PUBLIC,6752.0,1350.4,8102.4,337.6,1012.8,6752.0,337.6,20,2025-02-18,2025-02-21,2025-03-22,Maintenance SaaS,PO-73651-nn,2025,PAID,2025-04-01,FAC-2025-41924
5124,2025-06-24,81,PUBLIC,5594.82,1118.96,6713.78,279.74,839.22,5594.82,508.62,11,2025-06-24,2025-06-25,2025-09-20,Développement logiciel,PO-53134-ho,2025,PAID,2025-09-26,FAC-2025-02268
5127,2024-09-11,3,PRIVE,8627.74,1725.55,10353.29,0.0,0.0,10353.29,784.34,11,2024-09-12,2024-09-15,2024-11-24,Hébergement cloud,PO-52527-ku,2024,PAID,2024-11-15,FAC-2024-01178
5130,2024-08-23,40,PRIVE,22217.6,4443.52,26661.12,0.0,0.0,26661.12,1110.88,20,2024-08-24,2024-08-24,2024-11-21,Formation technique,PO-39279-je,2024,PAID,2024-11-09,FAC-2024-99768
5131,2025-06-27,69,PRIVE,4696.59,939.32,5635.91,0.0,0.0,5635.91,276.27,17,2025-06-28,2025-06-29,2025-07-30,Développement logiciel,PO-97564-Pf,2025,PAID,2025-07-16,FAC-2025-32967
5132,2025-05-20,66,PRIVE,1233.84,246.77,1480.61,0.0,0.0,1480.61,205.64,6,2025-05-20,2025-05-21,2025-07-12,Maintenance SaaS,PO-98398-Oq,2025,PAID,2025-07-12,FAC-2025-49382
5142,2024-01-29,98,PUBLIC,8874.7,1774.94,10649.64,443.74,1331.21,8874.69,1774.94,5,2024-01-30,2024-02-03,2024-03-01,Maintenance SaaS,PO-05575-ap,2024,PAID,2024-03-09,FAC-2024-56058
5143,2024-07-09,86,PRIVE,3483.2,696.64,4179.84,0.0,0.0,4179.84,870.8,4,2024-07-09,,2024-08-18,Hébergement cloud,PO-54381-cm,2024,PAID,2024-08-14,FAC-2024-58317
