invoice_id,invoice_number,client_name,client_id,issue_date,due_date,payment_date,amount_ht,vat_rate,vat_amount,amount_ttc,currency,status,type,category,payment_method,notes,created_at,updated_at
48,INV-2025-1047,Navarro Devaux et Fils,399,2024-05-05,2024-05-29,2024-06-01,154.89,0.0,0.0,154.89,CHF,paid_late,credit_note,Software,direct_debit,,2024-03-14,2025-03-17
49,INV-2025-1048,Martineau S.A.S.,69,2025-04-09,2025-05-29,2025-06-11,8498.53,20.0,1699.71,10198.24,CHF,paid_late,proforma,Support,direct_debit,Tout bouche soudain discours subir.,2025-02-19,2025-02-23
50,INV-2025-1049,Texier,460,2023-11-20,2024-01-06,2023-12-16,9077.86,20.0,1815.57,10893.43,USD,paid,recurring,Support,paypal,Printemps courant particulier diriger juger.,2025-06-26,2025-07-10
51,INV-2025-1050,Couturier S.A.R.L.,321,2025-05-10,2025-07-04,2025-05-14,7798.98,20.0,1559.8,9358.78,USD,paid,proforma,Support,bank_transfer,Approcher espace certainement violent classe.,2024-07-01,2025-02-22
52,INV-2025-1051,Marie SA,71,2025-01-21,2025-02-20,2025-03-03,3265.12,0.0,0.0,3265.12,USD,paid_late,credit_note,Hosting,credit_card,Même se ne chemin.,2023-10-30,2024-08-08
53,INV-2025-1052,Pelletier S.A.,213,2024-03-18,2024-04-06,2024-04-22,3375.73,20.0,675.15,4050.88,EUR,paid_late,credit_note,Hosting,check,Placer événement ministre songer vieillard.,2025-02-25,2024-09-21
54,INV-2025-1053,Goncalves Schmitt S.A.R.L.,245,2025-07-11,2025-09-01,,293.37,20.0,58.67,352.04,EUR,unpaid,proforma,Maintenance,,Condamner tomber répandre.,2024-06-07,2025-05-30
55,INV-2025-1054,Leroux,250,2024-12-24,2025-02-03,2025-01-17,7372.88,5.5,405.51,7778.39,USD,paid,proforma,Hosting,check,,2025-03-26,2025-04-21
56,INV-2025-1055,Lelièvre S.A.,431,2023-10-14,2023-11-19,2023-11-20,8001.61,5.5,440.09,8441.7,CHF,paid_late,credit_note,Design,direct_debit,,2023-12-25,2025-06-05
57,INV-2025-1056,Schneider,330,2025-07-05,2025-08-14,2025-07-16,6663.7,0.0,0.0,6663.7,CHF,paid,credit_note,Support,credit_card,,2025-04-21,2025-05-28
58,INV-2025-1057,Laurent Delmas S.A.,390,2025-05-29,2025-07-07,2025-06-20,4601.52,10.0,460.15,5061.67,CHF,paid,proforma,Hosting,paypal,Environ soi vers douter passer fortune.,2025-05-09,2025-02-16
59,INV-2025-1058,Bertin S.A.,115,2024-04-05,2024-05-20,2024-04-07,5440.25,10.0,544.02,5984.27,EUR,paid,invoice,IT_Services,credit_card,,2024-10-16,2024-11-03
60,INV-2025-1059,Barre,343,2023-08-21,2023-09-06,2023-08-26,2461.59,20.0,492.32,2953.91,EUR,paid,credit_note,Support,paypal,Haïr vivant campagne surveiller content approcher.,2024-06-26,2024-07-23
61,INV-2025-1060,Marchal Perret SA,399,2024-08-29,2024-09-23,2024-10-20,9640.97,0.0,0.0,9640.97,USD,paid_late,proforma,Consulting,direct_debit,,2024-12-20,2025-07-15
62,INV-2025-1061,Dupré,204,2024-04-04,2024-05-08,2024-06-03,9089.46,20.0,1817.89,10907.35,USD,paid_late,invoice,Design,credit_card,,2025-05-12,2024-09-09
63,INV-2025-1062,Guillou,408,2025-02-01,2025-03-07,,6044.07,0.0,0.0,6044.07,EUR,overdue,proforma,Development,,,2024-03-20,2025-04-08
64,INV-2025-1063,Grenier,435,2024-06-04,2024-07-12,2024-07-05,6510.68,0.0,0.0,6510.68,CHF,paid,recurring,Consulting,check,Mien contraire pierre feuille quitter.,2023-12-06,2025-03-19
65,INV-2025-1064,Lebon,223,2024-10-07,2024-12-01,,4651.42,5.5,255.83,4907.25,USD,overdue,proforma,Design,,Scène emmener creuser reposer oeuvre entourer herbe.,2024-12-29,2024-10-14
66,INV-2025-1065,Delmas Clément SARL,166,2024-08-23,2024-10-11,2024-10-07,4702.25,10.0,470.23,5172.48,USD,paid,invoice,Maintenance,check,,2024-08-27,2025-04-07
67,INV-2025-1066,Morin,15,2024-11-25,2025-01-08,2025-01-24,6715.07,10.0,671.51,7386.58,CHF,paid_late,proforma,Software,check,,2025-04-19,2025-05-10
68,INV-2025-1067,Philippe Caron SA,285,2024-01-21,2024-02-21,2024-02-20,8815.17,10.0,881.52,9696.69,EUR,paid,credit_note,Consulting,credit_card,Derrière inviter service.,2023-09-18,2025-01-16
69,INV-2025-1068,Wagner Grenier S.A.R.L.,331,2024-06-08,2024-07-24,2024-08-08,2479.21,20.0,495.84,2975.05,CHF,paid_late,recurring,IT_Services,bank_transfer,,2024-08-10,2024-12-25
70,INV-2025-1069,Hamel SA,243,2024-01-28,2024-03-08,2024-02-11,3131.44,10.0,313.14,3444.58,GBP,paid,recurring,Development,paypal,,2025-03-19,2025-01-04
71,INV-2025-1070,Girard,370,2024-01-08,2024-02-21,2024-01-25,2588.9,0.0,0.0,2588.9,USD,paid,proforma,Consulting,direct_debit,Désirer sérieux imaginer rêve placer voir nous.,2025-03-01,2025-07-04
72,INV-2025-1071,Lévy,142,2024-06-30,2024-08-28,2024-08-28,2242.21,20.0,448.44,2690.65,GBP,paid,invoice,Hardware,paypal,,2024-07-04,2025-07-06
73,INV-2025-1072,Poirier,141,2023-11-23,2023-12-19,2024-01-08,7109.38,5.5,391.02,7500.4,EUR,paid_late,invoice,Development,paypal,,2025-02-26,2024-10-27
74,INV-2025-1073,Toussaint,447,2025-05-05,2025-05-28,2025-05-31,7552.64,0.0,0.0,7552.64,EUR,paid_late,proforma,Support,check,,2024-01-25,2024-11-06
75,INV-2025-1074,Delannoy SARL,59,2024-06-28,2024-07-24,,2599.54,20.0,519.91,3119.45,EUR,overdue,recurring,Support,,,2024-01-22,2024-11-05
76,INV-2025-1075,Dos Santos S.A.,44,2024-04-08,2024-06-02,2024-05-09,1602.1,10.0,160.21,1762.31,USD,paid,invoice,Development,check,,2024-01-19,2024-12-18
77,INV-2025-1076,Andre Legros S.A.R.L.,466,2025-01-12,2025-03-07,2025-01-26,5273.47,20.0,1054.69,6328.16,CHF,paid,proforma,Design,check,,2024-04-05,2025-02-18
78,INV-2025-1077,Leclerc S.A.R.L.,486,2024-07-18,2024-09-10,2024-08-27,9605.08,0.0,0.0,9605.08,USD,paid,credit_note,Maintenance,bank_transfer,,2024-05-21,2025-07-09
79,INV-2025-1078,Martel,231,2025-03-11,2025-04-06,2025-03-12,1649.67,20.0,329.93,1979.6,CHF,paid,proforma,IT_Services,credit_card,,2023-07-28,2024-12-06
80,INV-2025-1079,Tanguy,474,2024-03-10,2024-04-12,2024-04-16,4594.91,5.5,252.72,4847.63,GBP,paid_late,credit_note,Hosting,bank_transfer,,2025-02-23,2025-05-04
81,INV-2025-1080,Coulon Vasseur SARL,37,2024-09-19,2024-11-14,2024-12-05,2729.76,5.5,150.14,2879.9,EUR,paid_late,credit_note,Maintenance,direct_debit,Jour flamme plaine retour profondément seigneur.,2025-07-07,2024-09-10
82,INV-2025-1081,Carlier S.A.S.,353,2024-11-17,2025-01-07,,4447.62,20.0,889.52,5337.14,GBP,overdue,recurring,Maintenance,,,2024-10-04,2025-04-06
83,INV-2025-1082,Dufour,377,2023-08-13,2023-09-28,2023-08-21,6020.56,20.0,1204.11,7224.67,GBP,paid,proforma,IT_Services,bank_transfer,,2025-05-27,2025-01-18
84,INV-2025-1083,Bertin S.A.R.L.,392,2023-12-11,2024-02-07,,5794.47,0.0,0.0,5794.47,GBP,overdue,invoice,Software,,,2024-04-03,2024-10-13
85,INV-2025-1084,Samson,326,2024-07-10,2024-09-04,2024-08-10,2853.75,20.0,570.75,3424.5,CHF,paid,invoice,Support,paypal,,2025-06-06,2024-12-17
86,INV-2025-1085,Faure,211,2024-02-24,2024-03-30,2024-04-04,8591.56,10.0,859.16,9450.72,CHF,paid_late,proforma,Hosting,direct_debit,,2024-07-23,2024-07-30
87,INV-2025-1086,Hubert,443,2025-02-23,2025-03-15,2025-02-28,3300.41,20.0,660.08,3960.49,EUR,paid,recurring,Hosting,bank_transfer,,2024-12-09,2024-08-18
88,INV-2025-1087,Faivre SA,390,2025-03-20,2025-04-27,2025-05-22,5035.08,20.0,1007.02,6042.1,EUR,paid_late,credit_note,Maintenance,direct_debit,,2024-02-01,2024-10-08
89,INV-2025-1088,Dupuis Marchand S.A.R.L.,15,2025-05-04,2025-06-06,2025-05-05,7012.68,0.0,0.0,7012.68,USD,paid,credit_note,Maintenance,direct_debit,,2024-12-24,2024-09-05
90,INV-2025-1089,Bonnin,237,2024-10-03,2024-11-13,2024-10-24,9923.35,0.0,0.0,9923.35,EUR,paid,credit_note,Support,paypal,,2024-02-08,2025-05-17
91,INV-2025-1090,Merle S.A.,125,2024-05-04,2024-06-05,2024-05-20,4876.75,20.0,975.35,5852.1,CHF,paid,credit_note,Hosting,credit_card,Brûler ajouter énergie plutôt valeur.,2024-05-27,2025-04-26
92,INV-2025-1091,Henry Grenier SARL,142,2023-12-24,2024-02-09,2023-12-31,1451.43,0.0,0.0,1451.43,CHF,paid,proforma,Development,paypal,Révolution retirer moment appel marchand peuple aussitôt paysan.,2023-08-02,2025-06-18
93,INV-2025-1092,Lesage SARL,444,2024-06-13,2024-07-16,2024-07-30,8391.01,20.0,1678.2,10069.21,USD,paid_late,recurring,Development,check,,2024-11-28,2025-07-04
94,INV-2025-1093,Gay Schmitt et Fils,446,2025-04-26,2025-06-15,2025-06-09,3834.38,10.0,383.44,4217.82,USD,paid,credit_note,Design,check,,2024-09-01,2025-04-01
95,INV-2025-1094,Turpin,198,2024-02-17,2024-03-29,2024-04-16,7472.58,20.0,1494.52,8967.1,USD,paid_late,recurring,IT_Services,credit_card,,2024-06-26,2025-06-08
96,INV-2025-1095,Breton,52,2025-02-09,2025-04-02,2025-04-07,1093.61,20.0,218.72,1312.33,CHF,paid_late,invoice,Software,check,Sauvage bas soulever dernier inquiétude.,2024-11-09,2025-04-08
97,INV-2025-1096,Costa SARL,174,2024-05-12,2024-06-05,2024-06-13,7837.1,10.0,783.71,8620.81,CHF,paid_late,invoice,Training,direct_debit,,2023-12-12,2025-01-28
98,INV-2025-1097,Leblanc,447,2024-01-03,2024-02-07,2024-02-06,8885.64,20.0,1777.13,10662.77,EUR,paid,invoice,Hardware,paypal,Souhaiter préférer double accuser troubler.,2023-09-28,2024-10-24
99,INV-2025-1098,Berthelot,228,2025-02-01,2025-02-21,2025-03-12,1074.59,0.0,0.0,1074.59,USD,paid_late,proforma,IT_Services,bank_transfer,,2025-03-03,2024-10-24
100,INV-2025-1099,Pons,126,2025-01-09,2025-01-27,2025-02-01,3810.93,5.5,209.6,4020.53,CHF,paid_late,credit_note,Software,credit_card,,2025-03-30,2024-07-29
101,INV-2025-1100,Lebon Jacquot S.A.,119,2023-10-03,2023-11-11,2023-10-31,2484.21,5.5,136.63,2620.84,CHF,paid,proforma,Support,paypal,,2024-03-17,2025-04-07
102,INV-2025-1101,Reynaud,38,2024-10-16,2024-11-29,,6808.35,5.5,374.46,7182.81,CHF,overdue,proforma,Design,,,2024-09-25,2025-02-14
103,INV-2025-1102,Benard,102,2024-04-15,2024-05-27,2024-05-26,4622.67,10.0,462.27,5084.94,CHF,paid,recurring,Consulting,credit_card,,2025-01-19,2025-01-15
104,INV-2025-1103,Grondin,12,2024-02-18,2024-03-26,2024-03-18,9927.65,10.0,992.76,10920.41,CHF,paid,proforma,IT_Services,direct_debit,Produire enfoncer quelque type.,2025-01-10,2024-10-03
105,INV-2025-1104,Rousset Guillet SARL,398,2023-12-18,2024-01-05,,7477.2,10.0,747.72,8224.92,USD,overdue,proforma,Hardware,,,2025-02-05,2025-03-09
106,INV-2025-1105,Roussel,322,2025-03-04,2025-04-27,2025-04-23,7580.22,5.5,416.91,7997.13,EUR,paid,invoice,Maintenance,check,,2025-04-30,2024-10-06
107,INV-2025-1106,Colin,168,2024-03-09,2024-04-16,2024-03-31,992.32,10.0,99.23,1091.55,CHF,paid,credit_note,Hardware,credit_card,Adresser marche dormir vieux midi.,2025-01-15,2024-09-10
108,INV-2025-1107,Richard S.A.S.,132,2024-11-29,2025-01-06,2025-01-15,9143.52,5.5,502.89,9646.41,CHF,paid_late,proforma,Training,bank_transfer,,2024-02-29,2025-01-21
109,INV-2025-1108,Gonzalez,496,2024-07-28,2024-08-16,2024-09-08,9668.35,20.0,1933.67,11602.02,GBP,paid_late,invoice,Hosting,bank_transfer,,2023-09-01,2024-10-29
110,INV-2025-1109,François S.A.R.L.,300,2025-07-22,2025-08-13,2025-07-22,6761.0,10.0,676.1,7437.1,CHF,paid,proforma,Consulting,credit_card,,2024-08-08,2024-08-20
111,INV-2025-1110,Fernandes S.A.,332,2024-10-13,2024-12-06,,5657.93,5.5,311.19,5969.12,EUR,overdue,recurring,Maintenance,,,2025-04-14,2025-02-26
112,INV-2025-1111,Lemaire Pascal S.A.R.L.,253,2024-03-14,2024-04-05,2024-03-22,9467.99,10.0,946.8,10414.79,EUR,paid,invoice,Hardware,direct_debit,,2024-11-05,2025-03-11
113,INV-2025-1112,Diallo Barbe S.A.R.L.,301,2025-03-28,2025-05-11,2025-05-27,9498.87,20.0,1899.77,11398.64,USD,paid_late,recurring,Consulting,check,,2024-07-07,2025-07-11
114,INV-2025-1113,Schneider,228,2024-06-30,2024-08-01,2024-07-28,3768.25,20.0,753.65,4521.9,USD,paid,proforma,Consulting,paypal,,2024-10-07,2025-03-21
115,INV-2025-1114,Ledoux S.A.,496,2023-09-07,2023-11-02,2023-11-05,4041.58,5.5,222.29,4263.87,EUR,paid_late,recurring,Consulting,credit_card,,2024-11-20,2024-10-13
116,INV-2025-1115,Barbier S.A.,125,2024-02-13,2024-04-06,,600.73,10.0,60.07,660.8,USD,overdue,credit_note,Consulting,,Métier chute front poser.,2024-07-22,2024-11-13
117,INV-2025-1116,Munoz,169,2023-08-17,2023-10-06,2023-09-08,2237.92,5.5,123.09,2361.01,USD,paid,invoice,Maintenance,credit_card,Premier ignorer porte tombe représenter.,2024-11-20,2025-03-09
118,INV-2025-1117,Lamy Noël S.A.S.,68,2024-12-17,2025-02-04,2025-03-05,1827.52,0.0,0.0,1827.52,EUR,paid_late,proforma,Hardware,direct_debit,,2024-01-14,2025-03-31
119,INV-2025-1118,Guérin Lopez S.A.,270,2023-11-15,2023-12-11,2023-12-10,1354.91,20.0,270.98,1625.89,EUR,paid,invoice,Support,check,Nourrir saison titre haut intention.,2024-03-16,2025-04-20
120,INV-2025-1119,Navarro,485,2024-05-30,2024-07-16,2024-06-25,4574.85,5.5,251.62,4826.47,EUR,paid,proforma,Support,bank_transfer,,2023-09-24,2025-03-12
121,INV-2025-1120,Guyon,252,2023-08-22,2023-10-06,,4320.11,0.0,0.0,4320.11,CHF,overdue,invoice,Consulting,,,2024-03-30,2025-03-14
122,INV-2025-1121,Rolland et Fils,196,2024-02-02,2024-02-26,2024-02-04,2822.66,10.0,282.27,3104.93,GBP,paid,recurring,Development,direct_debit,,2025-05-03,2025-06-22
123,INV-2025-1122,Salmon et Fils,221,2024-10-11,2024-12-09,2024-12-07,6581.66,5.5,361.99,6943.65,CHF,paid,credit_note,Hosting,paypal,Muet recueillir complètement lutte hésiter.,2024-02-25,2024-10-01
124,INV-2025-1123,Robin,161,2024-10-19,2024-11-28,2024-11-30,1041.35,20.0,208.27,1249.62,GBP,paid_late,proforma,Software,check,,2024-07-23,2024-12-05
125,INV-2025-1124,Leconte,416,2024-06-04,2024-06-24,2024-07-06,1055.99,10.0,105.6,1161.59,USD,paid_late,invoice,Design,direct_debit,,2023-10-13,2025-06-21
126,INV-2025-1125,Lemonnier,445,2023-11-24,2024-01-20,2023-12-26,3600.62,20.0,720.12,4320.74,EUR,paid,proforma,Design,paypal,,2024-08-11,2024-11-12
127,INV-2025-1126,De Sousa SA,115,2024-12-18,2025-02-07,2025-01-25,1631.83,20.0,326.37,1958.2,EUR,paid,proforma,Development,paypal,,2024-03-24,2024-10-29
128,INV-2025-1127,Buisson,312,2024-03-30,2024-05-01,2024-04-10,8091.49,0.0,0.0,8091.49,GBP,paid,invoice,Software,paypal,Personne meilleur garçon.,2023-12-16,2025-02-09
129,INV-2025-1128,Toussaint,446,2024-04-29,2024-06-02,,3575.13,5.5,196.63,3771.76,USD,overdue,recurring,Consulting,,,2024-07-01,2025-05-14
130,INV-2025-1129,Da Costa Dias S.A.,193,2023-09-01,2023-10-26,,1008.4,5.5,55.46,1063.86,CHF,overdue,recurring,Training,,,2025-07-13,2024-11-12
131,INV-2025-1130,Leroy et Fils,453,2024-06-27,2024-07-31,2024-08-13,7790.67,0.0,0.0,7790.67,EUR,paid_late,credit_note,Software,direct_debit,,2024-11-07,2025-05-29
132,INV-2025-1131,Courtois,311,2024-01-24,2024-02-13,2024-02-08,6653.19,20.0,1330.64,7983.83,CHF,paid,recurring,Maintenance,credit_card,Métier bête voler.,2025-07-02,2024-09-05
133,INV-2025-1132,Didier Auger SARL,270,2024-07-15,2024-08-06,2024-07-26,1197.81,20.0,239.56,1437.37,GBP,paid,invoice,Hardware,check,Près gauche joie interroger imaginer chasse contenter.,2024-10-31,2025-02-05
134,INV-2025-1133,Muller Baron S.A.R.L.,393,2025-02-21,2025-03-11,2025-04-04,3084.05,5.5,169.62,3253.67,USD,paid_late,proforma,Maintenance,paypal,,2024-04-12,2025-07-21
135,INV-2025-1134,Bernard,273,2025-03-25,2025-05-10,2025-05-13,1839.38,20.0,367.88,2207.26,USD,paid_late,proforma,Consulting,check,Promettre secours nation petit soir.,2024-07-04,2025-02-17
136,INV-2025-1135,Courtois,442,2024-08-02,2024-08-19,2024-08-18,4651.57,0.0,0.0,4651.57,GBP,paid,recurring,Design,check,Fermer toute solitude visage dent fil sien.,2024-06-07,2024-08-09
137,INV-2025-1136,Collin,88,2024-03-26,2024-05-06,2024-05-10,4109.82,10.0,410.98,4520.8,CHF,paid_late,proforma,Consulting,check,Lendemain annoncer lien nombre.,2025-05-29,2024-08-31
138,INV-2025-1137,Laine S.A.R.L.,203,2025-06-01,2025-07-01,2025-07-13,4064.45,0.0,0.0,4064.45,GBP,paid_late,proforma,Hardware,paypal,Profiter fuir père.,2023-11-20,2024-08-21
139,INV-2025-1138,Ferrand,464,2024-07-21,2024-08-09,2024-08-15,1228.86,5.5,67.59,1296.45,GBP,paid_late,proforma,Software,credit_card,,2025-01-12,2024-12-24
